labels,features
negative, did start claim but weeks is unrealistic am really supposed to go that long with out car seat for my child ridiculous 
positive, follow me please this airline is beautifull 
neutral, no don but m sure united have my info on its system 
negative, if the car seat is lost should just reimburse me for new one this is not pair of shoes it a necessity for my child
neutral, just submitted my response on the link you sent 
neutral, yes david allan send an email with this number kmm l km and case 
negative, that totally sucks my cousin worked at phl said 
positive, just wanted to let you know how wonderful rosetta the gate agent was working flight dan to ase let her know she wasappreciated
neutral, yes paper voucher that got on january th 
negative, beginning of feb called united they said they would send another voucher by mail never got anything tiredofwaiting
negative, the internet is great thing am emailing executives in your company maybe they will respond to me in timely manner 
neutral, do need to use chase united club pass for my yr old son or can he come in with me on my pass 
